药品通用名
18种氨基酸
23价肺炎球菌多糖疫苗
ACYW135群脑膜炎球菌多糖疫苗
A群C群脑膜炎球菌多糖结合疫苗
A群C群脑膜炎球菌多糖疫苗
A群脑膜炎球菌多糖疫苗
A型肉毒毒素
b型流感嗜血杆菌结合疫苗
I型I型脊髓灰质炎减毒活疫苗
L-谷氨酰胺呱仑酸钠
Sabin株脊髓灰质炎灭活疫苗
ω-3甘油三酯中/长链脂肪乳/氨基酸/葡萄糖
ω-3鱼油脂肪乳
阿巴西普
阿柏西普
阿贝西利
阿苯达唑
阿布昔替尼
阿达木单抗
阿达帕林
阿德福韦酯
阿伐曲泊帕
阿伐斯汀
阿伐替尼
阿法骨化醇
阿法林·慧灵
阿戈美拉汀
阿基仑赛
阿加曲班
阿加糖酶α
阿加糖酶β
阿胶
阿胶补血
阿胶三宝
阿桔
阿卡波糖
阿可替尼
阿拉坦五味
阿立哌唑
阿利沙坦酯
阿利西尤单抗
阿仑膦酸钠
阿仑膦酸钠维D3
阿洛西林钠
阿米卡星
阿莫西林
阿莫西林克拉维酸钾
阿莫西林钠
阿莫西林钠克拉维酸钾
阿莫西林舒巴坦匹酯
阿莫西林双氯西林钠
阿那曲唑
阿娜尔妇洁
阿帕他胺
阿哌沙班
阿片
阿普哩仑
阿普米司特
阿普唑仑
阿齐沙坦
阿奇霉素
阿柔比星
阿瑞匹坦
阿司匹林
阿糖胞苷
阿糖苷酶α
阿替利珠单抗
阿替洛尔
阿替普酶
阿托伐他汀钙
阿维A
阿魏
阿魏化痞
阿魏酸钠
阿魏酸哌嗪
阿西美辛
阿昔单抗
阿昔洛韦
阿昔莫司
阿昔替尼
阿扎胞苷
阿兹夫定
矮地茶
艾贝格司亭α
艾博韦泰
艾地骨化醇
艾迪
艾尔巴韦格拉瑞韦
艾附暖宫
艾加莫德α
艾考恩丙替
艾考糊精腹膜透析液
艾拉莫德
艾美赛珠单抗
艾米替诺福韦
艾诺米替
艾诺韦林
艾片
艾普拉唑
艾普拉唑钠
艾曲泊帕乙醇胺
艾瑞昔布
艾塞那肽
艾司奥美拉唑
艾司奥美拉唑镁
艾司奥美拉唑钠
艾司唑仑
艾托格列净
艾叶
艾愈
爱普列特
爱维心
安吖啶
安儿宁
安宫降压
安宫牛黄
安宫止血
安康欣
安坤
安坤赞育
安立生坦
安络化纤
安钠咖
安乃近
安奈拉唑钠
安脑
安神
安神宝
安神补脑
安神补心
安神补心六味
安胎
安替可
安胃
安胃疡
安息香
安阳精制
安中
桉柠蒎
桉油
氨苯蝶啶
氨苯砜
氨吡啶
氨苄西林
氨苄西林丙磺舒
氨苄西林钠
氨苄西林钠舒巴坦钠
氨茶碱
氨酚待因
氨酚麻美
氨酚羟考酮
氨酚曲马多
氨酚双氢可待因
氨酚伪麻
氨酚伪麻美芬
氨酚伪麻那敏
氨磺必利
氨基己酸
氨基酸腹膜透析液
氨甲苯酸
氨甲环酸
氨甲酰甲胆碱
氨力农
氨磷汀
氨鲁米特
氨氯地平阿托伐他汀钙
氨氯地平贝那普利
氨氯地平叶酸
氨麻苯美
氨麻美敏
氨曲南
氨肽素
氨糖美辛
氨溴特罗
按摩
昂丹司琼
奥布替尼
奥氮平
奥法妥木单抗
奥加伊妥珠单抗
奥卡西平
奥拉帕利
奥拉西坦
奥雷巴替尼
奥利司他
奥磷布韦
奥马珠单抗
奥马珠单抗α
奥美拉唑
奥美拉唑镁
奥美拉唑钠
奥美拉唑碳酸氢钠
奥美沙坦酯
奥美沙坦酯氨氯地平
奥美沙坦酯氢氯噻嗪
奥木替韦单抗
奥沙利铂
奥沙利铂甘露醇
奥沙普秦
奥沙西泮
奥妥珠单抗
奥硝唑
奥扎格雷
奥扎格雷钠
澳泰乐
八宝丹
八宝坤顺
八氟丙烷
八角茴香
八角茴香油
八味沉香
八味芪龙
八味清心沉香
八味檀香
八味锡类
八珍
八珍益母
八正
八子补肾
巴豆
巴豆霜
巴戟天
巴戟天寡糖
巴利昔单抗
巴柳氮钠
巴氯芬
巴曲酶
巴瑞替尼
巴特日七味
疤痕止痒
拔毒
拔毒生肌
菝葜
白百抗痨
白扁豆
白带
白癜风
白附子
白果
白喉抗毒素
白矶
白及
白蔹
白灵
白脉
白茅根
白眉蛇毒血凝酶
白蒲黄
白前
白屈菜
白芍
白芍总苷
白蚀
白术
白头翁
白薇
白鲜皮
白消安
白芷
百部
百草妇炎清
百咳静
百合
百合固金
百乐眠
百令
百蕊
百癣夏塔热
柏子仁
柏子养心
败毒
斑蝥
斑蝥酸钠维生素B6
斑秃
板蓝大青
板蓝根
半边莲
半夏
半夏和胃
半夏天麻
半枝莲
膀胱内给药装置
棓丙酯
包醛氧淀
胞二磷胆碱
胞磷胆碱
胞磷胆碱钠
薄荷脑
薄荷麝香草酚
薄荷素
宝儿康
宝咳宁
保赤
保妇康
保和
保济
保宁半夏
保胎
保心
葆宫止血
抱龙
暴马子皮
北豆根
北刘寄奴
北沙参
北芷五加
贝达喹啉
贝伐珠单抗
贝利尤单抗
贝羚
贝美格
贝美前列素
贝米肝素钠
贝敏伪麻
贝那鲁肽
贝那普利氢氯噻嗪
贝诺酯
贝前列素钠
倍氯福格
倍氯米松福莫特罗
倍他米松
倍他米松磷酸钠
本维莫德
本芴醇
苯巴比妥
苯巴比妥钠
